active,h_noise,n_noise_cols,seed,rho_A0,rho_A,rho_H1,rho_HN,rho_IV,rho_FA,rho_EBT
3,0.3,0,0,0.08957090196003716,-0.017412590308819805,0.34530066660695036,0.3602018024682083,0.1724129129693145,0.7680451493532824,0.36018562150893185
3,0.3,0,1,0.20601368164856929,-0.004423338274373148,0.6681646300528874,0.6798028014636265,0.360521332674528,0.7969035187330905,0.6798027219905854
3,0.3,0,2,0.2190783417461924,-0.04487461027909652,0.7078891935702913,0.7067560291762142,0.38334257972362923,0.7959726191267363,0.7067773890065896
3,0.3,0,3,0.0952826072509037,-0.042809101530181276,0.6537234057922857,0.4696092340617755,0.18942217765975788,0.8010711365258422,0.4696092340617755
3,0.3,0,4,0.28370381500284614,-0.013466259825493649,0.7582502362163771,0.7756611409852994,0.48977262548362954,0.8102763514899691,0.7756611409852994
3,0.3,0,5,0.23321207877445524,0.00471421430243209,0.727622049943992,0.7744764472286352,0.42360603442546685,0.8023133794304416,0.7744737442183183
3,0.3,4,0,0.08957090196003716,-0.017412590308819805,0.34530066660695036,0.3327246126388524,0.16616919160543342,0.7632907228847197,0.33272838430957946
3,0.3,4,1,0.20601368164856929,-0.004423338274373148,0.6681646300528874,0.6754329188831517,0.36030100853075825,0.7946316517424148,0.675432839147053
3,0.3,4,2,0.2190783417461924,-0.04487461027909652,0.7078891935702913,0.6962173113615984,0.396863499200091,0.7995298306851095,0.6962023091420778
3,0.3,4,3,0.0952826072509037,-0.042809101530181276,0.6537234057922857,0.44812919518840966,0.1909273647883973,0.8017393326995704,0.44812919518840966
3,0.3,4,4,0.28370381500284614,-0.013466259825493649,0.7582502362163771,0.7525750233808464,0.48719880605985305,0.8094947425602678,0.7525750233808464
3,0.3,4,5,0.23321207877445524,0.00471421430243209,0.727622049943992,0.7127669052427996,0.40990090951732877,0.8027152603003344,0.7127564820462474
3,0.3,12,0,0.08957090196003716,-0.017412590308819805,0.34530066660695036,0.33279396056607174,0.17133537139186106,0.7618690903767229,0.3327587240642657
