probe_opp,estimator,rho,ci_lo,ci_hi,n_valid
condor_Attack,A0,0.3376454736323565,0.2655191416814058,0.417677755632562,450
condor_Attack,A,0.32007691557842954,0.2506096232495174,0.406675659705378,450
condor_Attack,EB,0.3675425215065014,0.28596325019885366,0.4389084944859158,450
condor_Attack,EBT,0.3675419883815877,0.2882294990813324,0.4391634825511528,450
sunder_Support,A0,-0.025032003452489047,-0.10052814676602134,0.08304477925187218,398
sunder_Support,A,-0.024975193556376563,-0.126935279266781,0.07559127186920202,398
sunder_Support,EB,-0.006550390722728033,-0.11152553879278265,0.11969236195088556,398
sunder_Support,EBT,-0.006553250593097,-0.11649881593504167,0.10427395064770616,398
mule_Fighter_Support,A0,0.41276513073456783,0.32444611543126867,0.5069128064974546,392
mule_Fighter_Support,A,0.3974719659985692,0.3117272150962564,0.4791240709624858,392
mule_Fighter_Support,EB,0.3817970507276645,0.29963631590048495,0.47699263783170615,392
mule_Fighter_Support,EBT,0.3817542962426571,0.28637884060659446,0.46160661093522215,392
mule_Starting,A0,0.35940292241697086,0.25187923740856427,0.47219263471740824,304
mule_Starting,A,0.3368903468466186,0.21433663630405966,0.43495495679454743,304
mule_Starting,EB,0.3667527806983839,0.25368919468091866,0.46103339474727983,304
mule_Starting,EBT,0.3667527806983839,0.22524703782851346,0.4626108426466176,304
