active,h_noise,seed,rho_A0,rho_A,rho_C
3,0.3,0,0.08957090196003716,-0.017412590308819805,-0.025293693287602233
3,0.3,1,0.20601368164856929,-0.004423338274373148,-0.024050246425933047
3,0.3,2,0.2190783417461924,-0.04487461027909652,-0.04771137392691306
3,0.3,3,0.0952826072509037,-0.042809101530181276,-0.018719606103773396
3,0.3,4,0.28370381500284614,-0.013466259825493649,0.007402891230665654
3,0.3,5,0.23321207877445524,0.00471421430243209,-0.0240565070026959
3,0.3,6,0.09780450140051242,-0.05076677617860174,-0.09015423171646716
3,0.3,7,0.17263805294136345,-0.052205986459817215,-0.052926675161787756
3,0.6,0,0.08957090196003716,0.04699598263604955,-0.025293693287602233
3,0.6,1,0.20601368164856929,0.08942246660945463,-0.024050246425933047
3,0.6,2,0.2190783417461924,0.07327836546935546,-0.04771137392691306
3,0.6,3,0.0952826072509037,0.008025337035742115,-0.018719606103773396
3,0.6,4,0.28370381500284614,0.10629905523080821,0.007402891230665654
3,0.6,5,0.23321207877445524,0.11402268062486336,-0.0240565070026959
3,0.6,6,0.09780450140051242,0.021141004562515713,-0.09015423171646716
3,0.6,7,0.17263805294136345,0.04507470794409401,-0.052926675161787756
3,1.2,0,0.08957090196003716,0.08299815168510648,-0.025293693287602233
3,1.2,1,0.20601368164856929,0.16226355487106583,-0.024050246425933047
3,1.2,2,0.2190783417461924,0.16772518572241757,-0.04771137392691306
3,1.2,3,0.0952826072509037,0.05403311170891593,-0.018719606103773396
3,1.2,4,0.28370381500284614,0.20961061138866338,0.007402891230665654
3,1.2,5,0.23321207877445524,0.19405331892437513,-0.0240565070026959
3,1.2,6,0.09780450140051242,0.07302770160742716,-0.09015423171646716
3,1.2,7,0.17263805294136345,0.12084911721051816,-0.052926675161787756
3,2.5,0,0.08957090196003716,0.09046292630915884,-0.025293693287602233
3,2.5,1,0.20601368164856929,0.19370272662565505,-0.024050246425933047
3,2.5,2,0.2190783417461924,0.20821353960489017,-0.04771137392691306
3,2.5,3,0.0952826072509037,0.07703711944120982,-0.018719606103773396
3,2.5,4,0.28370381500284614,0.26139400891698766,0.007402891230665654
3,2.5,5,0.23321207877445524,0.22386185122365382,-0.0240565070026959
3,2.5,6,0.09780450140051242,0.09491106609916947,-0.09015423171646716
3,2.5,7,0.17263805294136345,0.1568577876277519,-0.052926675161787756
5,0.3,0,0.20176827582752785,0.048668279005974514,0.0571417288630889
5,0.3,1,0.311346187742176,0.021564075076836543,0.006935274304762951
5,0.3,2,0.2928890442796147,-0.0047493698488696775,0.022087074027949145
5,0.3,3,0.22807907204768055,-0.021513268088491806,0.02905726308773572
5,0.3,4,0.27950489432628006,-0.004576963196477125,-0.01552021058653899
5,0.3,5,0.1758998134348125,-0.06498382363281044,-0.019270777650318857
5,0.3,6,0.28691260138522484,0.014931234788002424,0.010591691925685992
5,0.3,7,0.2810177867801661,0.008547854404026802,-0.008461651077830527
5,0.6,0,0.20176827582752785,0.12513785308448985,0.0571417288630889
5,0.6,1,0.311346187742176,0.14426271113795133,0.006935274304762951
5,0.6,2,0.2928890442796147,0.13227442901132008,0.022087074027949145
5,0.6,3,0.22807907204768055,0.059417930099215706,0.02905726308773572
5,0.6,4,0.27950489432628006,0.12493606987959467,-0.01552021058653899
5,0.6,5,0.1758998134348125,0.039177967007723635,-0.019270777650318857
5,0.6,6,0.28691260138522484,0.12284816752918151,0.010591691925685992
5,0.6,7,0.2810177867801661,0.13610180853615195,-0.008461651077830527
5,1.2,0,0.20176827582752785,0.17291207357044547,0.0571417288630889
5,1.2,1,0.311346187742176,0.24521836410166023,0.006935274304762951
5,1.2,2,0.2928890442796147,0.23422936634294672,0.022087074027949145
5,1.2,3,0.22807907204768055,0.13795927350340914,0.02905726308773572
5,1.2,4,0.27950489432628006,0.2237792597686669,-0.01552021058653899
5,1.2,5,0.1758998134348125,0.12664231783888744,-0.019270777650318857
5,1.2,6,0.28691260138522484,0.21695691663704936,0.010591691925685992
5,1.2,7,0.2810177867801661,0.2325074669417468,-0.008461651077830527
5,2.5,0,0.20176827582752785,0.194349973946369,0.0571417288630889
5,2.5,1,0.311346187742176,0.29004409372372364,0.006935274304762951
5,2.5,2,0.2928890442796147,0.2793255047228828,0.022087074027949145
