strategy,seed,rho_truth,rho_alpha_truth,exploit_spread_rho,ceiling_pct,top5_overlap,top10_overlap,top25_overlap,elapsed_s,pred_p10,pred_p50,pred_p90
A_baseline,0,0.47316658542735196,0.4893192146579406,0.39925809696752196,0.25333333333333335,0.0,0.1,0.28,5.7996954917907715,0.10300000000000001,0.5016666666666667,1.0
B_cfs_twfe,0,0.0828831144086526,0.0,0.09017428141175753,0.25333333333333335,0.0,0.0,0.04,0.05176997184753418,0.10300000000000001,0.5016666666666667,1.0
C_emtobit,0,0.4675347834891917,0.47198213313481263,0.3821814671755498,0.25333333333333335,0.0,0.1,0.24,0.506453275680542,0.10300000000000001,0.5016666666666667,1.0
D_boxcox,0,0.5008633429260325,0.5008633429260325,0.41513216602754266,0.0033333333333333335,0.2,0.2,0.36,0.08292531967163086,0.3102616955292636,0.4692340574144283,0.6673865091579263
E_novelty,0,0.47935924372616706,,0.40459978741432445,0.15,0.0,0.2,0.24,0.0968167781829834,0.0,0.375,1.0
F_combined,0,0.5069553062916047,0.5609377881976465,0.4362248336765432,0.12333333333333334,0.0,0.0,0.24,0.5170464515686035,0.0,0.5,1.0
G_main_exploiter,0,0.3975107590805948,0.40497266545179783,0.29870314602587295,0.25333333333333335,0.0,0.1,0.28,0.054804325103759766,0.10600000000000001,0.5033333333333334,1.0
H_cat_fisher,0,0.391986499604471,0.39963555150612784,0.2737875579491353,0.25333333333333335,0.0,0.0,0.36,0.0955054759979248,0.10300000000000001,0.5016666666666667,1.0
I_tobit_boxcox,0,0.4620331337014855,0.4620331337014855,0.37311759882304707,0.0033333333333333335,0.4,0.3,0.28,0.51839280128479,0.31976852026324254,0.5244613489181367,0.7443694848909128
J_boxcox_cat,0,0.4461271791908799,0.4461271791908799,0.347088367942503,0.0033333333333333335,0.4,0.3,0.24,0.10231351852416992,0.35414499937365845,0.5480415880467869,0.7475191676320633
K_tobit_boxcox_cat,0,0.5258573984155379,0.5258573984155379,0.44396389552130816,0.0033333333333333335,0.0,0.3,0.32,0.5196452140808105,0.324171760455206,0.5201528741908954,0.7221775540900583
A_baseline,1,0.385170352303281,0.4001164457382859,0.2668401160653917,0.25333333333333335,0.2,0.2,0.28,6.186031341552734,0.10300000000000001,0.5016666666666667,1.0
B_cfs_twfe,1,0.023238128644978245,0.0,0.07984238862621189,0.25333333333333335,0.0,0.1,0.2,0.05756664276123047,0.10300000000000001,0.5016666666666667,1.0
C_emtobit,1,0.44600125180258077,0.45218724652496134,0.3218603269484436,0.25333333333333335,0.2,0.2,0.2,0.5303878784179688,0.10300000000000001,0.5016666666666667,1.0
