noise_mult,seed,strategy,mean_cov_q_corr,prior_rho_upperbound,rho_truth,rho_alpha_truth,ceiling_pct,top5,top10,top25
0.5,0,A0,0.5633012296078618,0.9171533017033522,0.45825405068037256,0.4655682840920454,0.25333333333333335,0.2,0.1,0.12
0.5,0,A,0.5633012296078618,0.9171533017033522,0.866514656498174,0.8765875176390849,0.25333333333333335,0.2,0.1,0.28
0.5,0,D,0.5633012296078618,0.9171533017033522,0.8689754330603672,0.8689754330603672,0.0033333333333333335,0.6,0.6,0.6
0.5,0,J,0.5633012296078618,0.9171533017033522,0.8861774019711329,0.8861774019711329,0.0033333333333333335,0.6,0.7,0.6
0.5,1,A0,0.6017023345306006,0.923965377393082,0.4396533757478403,0.45853842820475776,0.25333333333333335,0.0,0.0,0.24
0.5,1,A,0.6017023345306006,0.923965377393082,0.8737284982790042,0.8869027433638149,0.25333333333333335,0.0,0.0,0.44
0.5,1,D,0.6017023345306006,0.923965377393082,0.9140137112634584,0.9140137112634584,0.0033333333333333335,0.8,0.7,0.76
0.5,1,J,0.6017023345306006,0.923965377393082,0.798003533372593,0.798003533372593,0.0033333333333333335,0.6,0.5,0.68
0.5,2,A0,0.5773688550550636,0.9184559828442538,0.45475075440789187,0.4528014755719508,0.25333333333333335,0.0,0.0,0.28
0.5,2,A,0.5773688550550636,0.9184559828442538,0.8942499815348914,0.9026851409460105,0.25333333333333335,0.0,0.1,0.36
0.5,2,D,0.5773688550550636,0.9184559828442538,0.8378221980244226,0.8378221980244226,0.0033333333333333335,0.6,0.7,0.56
0.5,2,J,0.5773688550550636,0.9184559828442538,0.7887892087689862,0.7887892087689862,0.0033333333333333335,0.6,0.5,0.48
0.5,3,A0,0.5454974051958913,0.9048096089956554,0.47844684785083313,0.4863836264847387,0.25333333333333335,0.0,0.0,0.16
0.5,3,A,0.5454974051958913,0.9048096089956554,0.8573900887892474,0.8658745097167746,0.25333333333333335,0.0,0.0,0.28
0.5,3,D,0.5454974051958913,0.9048096089956554,0.8561526239180434,0.8561526239180434,0.0033333333333333335,1.0,0.8,0.6
0.5,3,J,0.5454974051958913,0.9048096089956554,0.8532263691818799,0.8532263691818799,0.0033333333333333335,0.8,0.6,0.64
0.5,4,A0,0.5192863090576086,0.8956077289747663,0.45975565541420255,0.46975855287280965,0.25333333333333335,0.0,0.0,0.24
0.5,4,A,0.5192863090576086,0.8956077289747663,0.8772797419422697,0.8880547561639573,0.25333333333333335,0.0,0.1,0.44
0.5,4,D,0.5192863090576086,0.8956077289747663,0.8653113923488038,0.8653113923488038,0.006666666666666667,0.4,0.6,0.64
0.5,4,J,0.5192863090576086,0.8956077289747663,0.8385395393282148,0.8385395393282148,0.006666666666666667,0.2,0.5,0.72
0.5,5,A0,0.5847106929916157,0.9236698185535395,0.5175479450358238,0.5238169312992366,0.25333333333333335,0.0,0.1,0.08
0.5,5,A,0.5847106929916157,0.9236698185535395,0.8525155867616132,0.8689305436727074,0.25333333333333335,0.2,0.1,0.2
0.5,5,D,0.5847106929916157,0.9236698185535395,0.8840476005288946,0.8840476005288946,0.0033333333333333335,0.4,0.4,0.64
0.5,5,J,0.5847106929916157,0.9236698185535395,0.8689087656529516,0.8689087656529516,0.0033333333333333335,0.4,0.3,0.56
0.5,6,A0,0.5448911643090977,0.9176635295947733,0.4323980841198364,0.44594317714641263,0.25333333333333335,0.0,0.1,0.12
0.5,6,A,0.5448911643090977,0.9176635295947733,0.8272376775292298,0.8368124090267669,0.25333333333333335,0.0,0.1,0.24
0.5,6,D,0.5448911643090977,0.9176635295947733,0.8692892143246035,0.8692892143246035,0.0033333333333333335,0.4,0.7,0.6
0.5,6,J,0.5448911643090977,0.9176635295947733,0.9018046867187413,0.9018046867187413,0.0033333333333333335,0.6,0.7,0.76
0.5,7,A0,0.5114847745709749,0.8983699818886877,0.4336966966291289,0.4390471005233391,0.25333333333333335,0.0,0.2,0.16
0.5,7,A,0.5114847745709749,0.8983699818886877,0.8173376615983121,0.8269345214946833,0.25333333333333335,0.0,0.1,0.36
0.5,7,D,0.5114847745709749,0.8983699818886877,0.8053862820698007,0.8053862820698007,0.006666666666666667,0.0,0.2,0.52
0.5,7,J,0.5114847745709749,0.8983699818886877,0.8675958621762463,0.8675958621762463,0.006666666666666667,0.2,0.4,0.52
0.5,8,A0,0.5811479038447492,0.9120901343348258,0.4877520024615006,0.48917787975421945,0.25333333333333335,0.0,0.0,0.16
0.5,8,A,0.5811479038447492,0.9120901343348258,0.873624089474772,0.8882187579861996,0.25333333333333335,0.0,0.2,0.16
0.5,8,D,0.5811479038447492,0.9120901343348258,0.90040422671363,0.90040422671363,0.01,0.4,0.6,0.68
0.5,8,J,0.5811479038447492,0.9120901343348258,0.8697972199691107,0.8697972199691107,0.0033333333333333335,0.4,0.3,0.68
0.5,9,A0,0.6371181483656866,0.9284907610084556,0.61995259314395,0.6303972266358515,0.25333333333333335,0.0,0.1,0.2
0.5,9,A,0.6371181483656866,0.9284907610084556,0.862514634219292,0.8715510172335248,0.25333333333333335,0.0,0.0,0.28
0.5,9,D,0.6371181483656866,0.9284907610084556,0.9129021433571485,0.9129021433571485,0.0033333333333333335,0.8,0.5,0.64
0.5,9,J,0.6371181483656866,0.9284907610084556,0.8812124579161992,0.8812124579161992,0.006666666666666667,0.6,0.5,0.52
1.0,0,A0,0.400729843432386,0.79077234191491,0.45825405068037256,0.4655682840920454,0.25333333333333335,0.2,0.1,0.12
1.0,0,A,0.400729843432386,0.79077234191491,0.7708813450456445,0.7817531305903398,0.25333333333333335,0.0,0.0,0.2
1.0,0,D,0.400729843432386,0.79077234191491,0.7674058600651119,0.7674058600651119,0.0033333333333333335,0.4,0.4,0.52
1.0,0,J,0.400729843432386,0.79077234191491,0.7872945254947277,0.7872945254947277,0.0033333333333333335,0.4,0.4,0.52
1.0,1,A0,0.4424013079054424,0.7893954377270858,0.4396533757478403,0.45853842820475776,0.25333333333333335,0.0,0.0,0.24
1.0,1,A,0.4424013079054424,0.7893954377270858,0.767636830251465,0.7805064500716674,0.25333333333333335,0.0,0.1,0.44
1.0,1,D,0.4424013079054424,0.7893954377270858,0.798003533372593,0.798003533372593,0.0033333333333333335,0.8,0.5,0.64
1.0,1,J,0.4424013079054424,0.7893954377270858,0.7057771753019477,0.7057771753019477,0.0033333333333333335,0.4,0.3,0.56
1.0,2,A0,0.40755364980391523,0.759206213402371,0.45475075440789187,0.4528014755719508,0.25333333333333335,0.0,0.0,0.28
1.0,2,A,0.40755364980391523,0.759206213402371,0.7887805093214144,0.7919505772286359,0.25333333333333335,0.0,0.0,0.28
1.0,2,D,0.40755364980391523,0.759206213402371,0.7158910654562828,0.7158910654562828,0.0033333333333333335,0.6,0.5,0.4
1.0,2,J,0.40755364980391523,0.759206213402371,0.6902356692852143,0.6902356692852143,0.0033333333333333335,0.4,0.4,0.36
1.0,3,A0,0.39419463897784945,0.7359792886587627,0.47844684785083313,0.4863836264847387,0.25333333333333335,0.0,0.0,0.16
1.0,3,A,0.39419463897784945,0.7359792886587627,0.7221585060388702,0.730614340159335,0.25333333333333335,0.0,0.0,0.32
1.0,3,D,0.39419463897784945,0.7359792886587627,0.7063425149168324,0.7063425149168324,0.0033333333333333335,1.0,0.7,0.48
1.0,3,J,0.39419463897784945,0.7359792886587627,0.7230351448349425,0.7230351448349425,0.0033333333333333335,0.6,0.7,0.48
1.0,4,A0,0.34956218975993175,0.7236235958177313,0.45975565541420255,0.46975855287280965,0.25333333333333335,0.0,0.0,0.24
1.0,4,A,0.34956218975993175,0.7236235958177313,0.7304130750636038,0.7395477727530305,0.25333333333333335,0.0,0.0,0.24
1.0,4,D,0.34956218975993175,0.7236235958177313,0.7327392526583628,0.7327392526583628,0.006666666666666667,0.2,0.5,0.52
1.0,4,J,0.34956218975993175,0.7236235958177313,0.7198071089678774,0.7198071089678774,0.006666666666666667,0.2,0.3,0.52
1.0,5,A0,0.4291430406766299,0.7914541272680806,0.5175479450358238,0.5238169312992366,0.25333333333333335,0.0,0.1,0.08
1.0,5,A,0.4291430406766299,0.7914541272680806,0.7584887369536019,0.772338803764486,0.25333333333333335,0.0,0.1,0.28
1.0,5,D,0.4291430406766299,0.7914541272680806,0.7825926954743941,0.7825926954743941,0.0033333333333333335,0.4,0.4,0.48
1.0,5,J,0.4291430406766299,0.7914541272680806,0.7700450005000055,0.7700450005000055,0.0033333333333333335,0.4,0.2,0.4
1.0,6,A0,0.3894877939324717,0.790027444749386,0.4323980841198364,0.44594317714641263,0.25333333333333335,0.0,0.1,0.12
1.0,6,A,0.3894877939324717,0.790027444749386,0.7284931629531608,0.733722374693052,0.25333333333333335,0.0,0.1,0.28
1.0,6,D,0.3894877939324717,0.790027444749386,0.7658262869587439,0.7658262869587439,0.0033333333333333335,0.2,0.5,0.52
1.0,6,J,0.3894877939324717,0.790027444749386,0.8059049544994945,0.8059049544994945,0.0033333333333333335,0.4,0.5,0.64
1.0,7,A0,0.3470336201845248,0.7120790231002566,0.4336966966291289,0.4390471005233391,0.25333333333333335,0.0,0.2,0.16
1.0,7,A,0.3470336201845248,0.7120790231002566,0.6769654015854766,0.6840676007511194,0.25333333333333335,0.0,0.1,0.2
1.0,7,D,0.3470336201845248,0.7120790231002566,0.654754830609229,0.654754830609229,0.006666666666666667,0.0,0.1,0.28
1.0,7,J,0.3470336201845248,0.7120790231002566,0.7175288614317936,0.7175288614317936,0.006666666666666667,0.2,0.2,0.32
1.0,8,A0,0.41478884556791284,0.7598239980444227,0.4877520024615006,0.48917787975421945,0.25333333333333335,0.0,0.0,0.16
1.0,8,A,0.41478884556791284,0.7598239980444227,0.754681624503999,0.7623480260891787,0.25333333333333335,0.0,0.1,0.12
1.0,8,D,0.41478884556791284,0.7598239980444227,0.7831771464127378,0.7831771464127378,0.01,0.2,0.4,0.6
1.0,8,J,0.41478884556791284,0.7598239980444227,0.7845873843042701,0.7845873843042701,0.0033333333333333335,0.2,0.3,0.6
1.0,9,A0,0.4875074375870769,0.8166215180168668,0.61995259314395,0.6303972266358515,0.25333333333333335,0.0,0.1,0.2
1.0,9,A,0.4875074375870769,0.8166215180168668,0.7905274523398675,0.7979039767108523,0.25333333333333335,0.0,0.0,0.24
1.0,9,D,0.4875074375870769,0.8166215180168668,0.8161850687229858,0.8161850687229858,0.0033333333333333335,0.6,0.5,0.4
1.0,9,J,0.4875074375870769,0.8166215180168668,0.8030529228102534,0.8030529228102534,0.006666666666666667,0.4,0.3,0.4
2.0,0,A0,0.24356712753668855,0.5934363715152391,0.45825405068037256,0.4655682840920454,0.25333333333333335,0.2,0.1,0.12
2.0,0,A,0.24356712753668855,0.5934363715152391,0.6470464537889999,0.653594373270814,0.25333333333333335,0.0,0.0,0.2
2.0,0,D,0.24356712753668855,0.5934363715152391,0.6372466360737341,0.6372466360737341,0.0033333333333333335,0.4,0.3,0.36
2.0,0,J,0.24356712753668855,0.5934363715152391,0.6573948599428883,0.6573948599428883,0.0033333333333333335,0.4,0.3,0.4
2.0,1,A0,0.2765265755643849,0.5752023911376793,0.4396533757478403,0.45853842820475776,0.25333333333333335,0.0,0.0,0.24
2.0,1,A,0.2765265755643849,0.5752023911376793,0.631585884846415,0.6436942632695919,0.25333333333333335,0.0,0.0,0.32
2.0,1,D,0.2765265755643849,0.5752023911376793,0.6395915510172335,0.6395915510172335,0.0033333333333333335,0.4,0.3,0.44
2.0,1,J,0.2765265755643849,0.5752023911376793,0.550844342714919,0.550844342714919,0.0033333333333333335,0.0,0.2,0.28
2.0,2,A0,0.24182626636346363,0.524213824598051,0.45475075440789187,0.4528014755719508,0.25333333333333335,0.0,0.0,0.28
2.0,2,A,0.24182626636346363,0.524213824598051,0.6459745831464092,0.6548872765252948,0.25333333333333335,0.0,0.1,0.24
2.0,2,D,0.24182626636346363,0.524213824598051,0.5530265891843242,0.5530265891843242,0.0033333333333333335,0.2,0.3,0.32
2.0,2,J,0.24182626636346363,0.524213824598051,0.5567368526316958,0.5567368526316958,0.0033333333333333335,0.0,0.0,0.16
2.0,3,A0,0.24845061122365325,0.4994202157801753,0.47844684785083313,0.4863836264847387,0.25333333333333335,0.0,0.0,0.16
2.0,3,A,0.24845061122365325,0.4994202157801753,0.5680087649319325,0.5745321614684606,0.25333333333333335,0.0,0.1,0.16
2.0,3,D,0.24845061122365325,0.4994202157801753,0.536617517972422,0.536617517972422,0.0033333333333333335,0.8,0.4,0.32
2.0,3,J,0.24845061122365325,0.4994202157801753,0.5443900487783198,0.5443900487783198,0.0033333333333333335,0.2,0.4,0.4
2.0,4,A0,0.20199852504920393,0.4849871665240724,0.45975565541420255,0.46975855287280965,0.25333333333333335,0.0,0.0,0.24
2.0,4,A,0.20199852504920393,0.4849871665240724,0.5695719843034531,0.5690272114134602,0.25333333333333335,0.0,0.1,0.2
2.0,4,D,0.20199852504920393,0.4849871665240724,0.6081267569639661,0.6081267569639661,0.006666666666666667,0.0,0.1,0.36
2.0,4,J,0.20199852504920393,0.4849871665240724,0.5689814331270346,0.5689814331270346,0.006666666666666667,0.2,0.3,0.36
2.0,5,A0,0.27535296869405984,0.5835731508127867,0.5175479450358238,0.5238169312992366,0.25333333333333335,0.0,0.1,0.08
2.0,5,A,0.27535296869405984,0.5835731508127867,0.6336178235708412,0.6398102201135567,0.25333333333333335,0.0,0.1,0.16
2.0,5,D,0.27535296869405984,0.5835731508127867,0.6454871720796898,0.6454871720796898,0.0033333333333333335,0.2,0.2,0.36
2.0,5,J,0.27535296869405984,0.5835731508127867,0.641226235847065,0.641226235847065,0.0033333333333333335,0.2,0.2,0.32
2.0,6,A0,0.24713030531933208,0.6097356637295969,0.4323980841198364,0.44594317714641263,0.25333333333333335,0.0,0.1,0.12
2.0,6,A,0.24713030531933208,0.6097356637295969,0.5735890346276606,0.5845113834598161,0.25333333333333335,0.0,0.1,0.16
2.0,6,D,0.24713030531933208,0.6097356637295969,0.6333492594362159,0.6333492594362159,0.0033333333333333335,0.2,0.4,0.4
